text_features,intent
i forgot my password,account_help
how do i reset my password,account_help
can't login to my account,account_help
update my profile information,account_help
change my email address,account_help
delete my account permanently,account_help
two factor authentication setup,account_help
account locked out help,account_help
change my username,account_help
update phone number on account,account_help
security settings modification,account_help
privacy settings help,account_help
account verification issues,account_help
login credentials not working,account_help
account recovery assistance,account_help
change password requirements,account_help
account suspension appeal,account_help
profile picture upload issue,account_help
account settings not saving,account_help
multiple account merge request,account_help
account activity review,account_help
login history check,account_help
account data download,account_help
notification preferences,account_help
account deactivation,account_help
help with my account,account_help
locked out of account,account_help
forgot username,account_help
account hacked,account_help
suspicious account activity,account_help
enable account notifications,account_help
disable email alerts,account_help
account backup codes,account_help
recovery email setup,account_help
account timezone change,account_help
language preferences,account_help
account theme settings,account_help
profile visibility settings,account_help
account linking issues,account_help
social media integration,account_help
account export data,account_help
gdpr data request,account_help
account compliance,account_help
parental controls setup,account_help
child account management,account_help
family account sharing,account_help
business account upgrade,account_help
premium account features,account_help
account downgrade,account_help
trial account extension,account_help
account migration,account_help
legacy account update,account_help
account api access,account_help
developer account setup,account_help
account webhook configuration,account_help
account integration settings,account_help
account audit log,account_help
account security report,account_help
account breach notification,account_help
account recovery phone,account_help
account backup verification,account_help
where is my order,order_status
track my package,order_status
order status check,order_status
when will my order arrive,order_status
my order hasn't arrived yet,order_status
order number ord123456 status,order_status
tracking number not working,order_status
package delivery update,order_status
order shipped notification,order_status
delivery date estimation,order_status
order processing time,order_status
package stuck in transit,order_status
order confirmation missing,order_status
delivery attempt failed,order_status
package marked as delivered but not received,order_status
order delay notification,order_status
shipping carrier information,order_status
package location update,order_status
order fulfillment status,order_status
delivery signature required,order_status
package rerouted notification,order_status
order preparation time,order_status
shipping label created,order_status
package out for delivery,order_status
order backordered status,order_status
partial shipment tracking,order_status
express delivery status,order_status
international shipping update,order_status
package customs clearance,order_status
order modification after placement,order_status
check order number 12345,order_status
order still processing,order_status
estimated delivery time,order_status
package lost in mail,order_status
delivery address change,order_status
package delivery instructions,order_status
order shipped to wrong address,order_status
package delivery schedule,order_status
order tracking history,order_status
package delivery confirmation,order_status
order status email update,order_status
package delivery photo,order_status
order fulfillment center,order_status
package weight and dimensions,order_status
order shipping method,order_status
package insurance claim,order_status
order delivery window,order_status
package delivery exception,order_status
order priority upgrade,order_status
package delivery hold,order_status
order batch processing,order_status
package delivery notification,order_status
order inventory allocation,order_status
package delivery attempt,order_status
order quality check,order_status
